config,dataset,rep,declared,values,structure,evidence,structure_correct,n_correct,n_spurious,exact,missed,n_values_correct,values_exact,turns,tool_calls,filtered_calls,stop_reason,warned,cited_numbers,input_tokens,output_tokens,seconds,error
minimal,clean,0,,,none,,1,0,0,1,,,,2,2,0,end_turn,0,1,3282,1262,16.8,
minimal,clean,1,,,none,measured,1,0,0,1,,,,2,2,0,end_turn,0,1,3285,1146,13.8,
minimal,clean,2,,,none,measured,1,0,0,1,,,,2,2,0,end_turn,0,1,3282,802,10.9,
minimal,clean,3,,,,,,0,0,1,,,,2,2,0,end_turn,0,1,3278,1094,13.1,
minimal,clean,4,,,none,,1,0,0,1,,,,2,2,0,end_turn,0,1,3280,1254,14.1,
minimal,defect_4d,0,,,none,measured,0,0,0,0,LOT_ID|SPATIAL|TEMP_C|VDD,0,0,2,2,0,end_turn,0,1,3296,1301,17.0,
minimal,defect_4d,1,,,none,measured,0,0,0,0,LOT_ID|SPATIAL|TEMP_C|VDD,0,0,2,2,0,end_turn,0,1,3296,752,10.8,
minimal,defect_4d,2,,,none,measured,0,0,0,0,LOT_ID|SPATIAL|TEMP_C|VDD,0,0,2,2,0,end_turn,0,1,3291,846,11.4,
minimal,defect_4d,3,,,none,,0,0,0,0,LOT_ID|SPATIAL|TEMP_C|VDD,0,0,2,2,0,end_turn,0,1,3298,1386,18.3,
minimal,defect_4d,4,,,none,,0,0,0,0,LOT_ID|SPATIAL|TEMP_C|VDD,0,0,2,2,0,end_turn,0,1,3294,1065,13.9,
minimal_f,clean,0,SPATIAL|SITE_NUM|VDD,SPATIAL=edge N W; SITE_NUM=2; VDD=0.85,interaction,measured,0,0,3,0,,,,14,46,44,end_turn,1,1,100424,5509,63.5,
minimal_f,clean,1,VDD|TEMP_C|SPATIAL,"VDD=0.85; TEMP_C=25; SPATIAL=edge,centre",interaction,measured,0,0,3,0,,,,11,32,30,end_turn,0,1,69441,3675,45.7,
minimal_f,clean,2,SPATIAL|LOT_ID,"SPATIAL=W; LOT_ID=L45,L46,L48",interaction,measured,0,0,2,0,,,,13,57,55,end_turn,1,1,91341,5315,63.2,
minimal_f,clean,3,SPATIAL|TEMP_C,SPATIAL=edge N; TEMP_C=25,interaction,measured,0,0,2,0,,,,10,44,42,end_turn,0,1,59587,4003,46.9,
minimal_f,clean,4,SPATIAL|TEMP_C|VDD,SPATIAL=W octant edge; TEMP_C=85; VDD=0.85,interaction,measured,0,0,3,0,,,,14,53,51,end_turn,1,1,101080,5108,59.0,
minimal_f,defect_4d,0,TEMP_C|VDD|SPATIAL,"TEMP_C=85; VDD=0.75; SPATIAL=edge N,NW",interaction,measured,1,3,0,0,LOT_ID,3,0,9,30,28,end_turn,0,1,48856,4202,49.2,
minimal_f,defect_4d,1,VDD|TEMP_C|SPATIAL,"VDD=0.75; TEMP_C=85; SPATIAL=edge NW,edge N,edge W,outer",interaction,measured,1,3,0,0,LOT_ID,3,0,11,33,31,end_turn,0,1,59547,4759,56.1,
minimal_f,defect_4d,2,TEMP_C|VDD|SPATIAL,"TEMP_C=85; VDD=0.75; SPATIAL=edge NW,edge N",interaction,measured,1,3,0,0,LOT_ID,3,0,9,35,33,end_turn,0,1,49054,4702,54.3,
minimal_f,defect_4d,3,TEMP_C|VDD|SPATIAL,"TEMP_C=85; VDD=0.75; SPATIAL=edge N,NW",interaction,measured,1,3,0,0,LOT_ID,3,0,9,37,35,end_turn,0,1,50838,4540,52.3,
minimal_f,defect_4d,4,TEMP_C|VDD|SPATIAL,TEMP_C=85; VDD=0.75; SPATIAL=edge NW,interaction,measured,1,3,0,0,LOT_ID,3,0,10,33,31,end_turn,0,1,59553,4767,54.8,
reduced,clean,0,LOT_ID|WAFER_ID|SITE_NUM|VDD|TEMP_C,"LOT_ID=L45; WAFER_ID=W01; SITE_NUM=7,3; VDD=0.85; TEMP_C=85",independent,measured,0,0,5,0,,,,14,31,0,end_turn,1,1,126673,4299,56.8,
reduced,clean,1,SPATIAL,,,,,0,1,0,,,,10,23,0,end_turn,0,1,83093,3612,48.0,
reduced,clean,2,SITE_NUM|WAFER_ID|TEMP_C,"SITE_NUM=7,3; WAFER_ID=W01; TEMP_C=25",independent,measured,0,0,3,0,,,,11,27,0,end_turn,0,1,93843,5710,69.1,
reduced,clean,3,SPATIAL|TEMP_C|VDD,"SPATIAL=edge,N,W octants; TEMP_C=25,85; VDD=0.85",interaction,inferred,0,0,3,0,,,,9,19,0,end_turn,0,1,55614,4639,58.8,
reduced,clean,4,LOT_ID|SITE_NUM,"LOT_ID=L45; SITE_NUM=3,7**",independent,inferred,0,0,2,0,,,,10,23,0,end_turn,0,1,82437,5136,64.2,
reduced,defect_4d,0,LOT_ID|TEMP_C|VDD|SPATIAL,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75; SPATIAL=edge,outer NW,N",interaction,inferred,1,4,0,1,,4,1,9,21,0,end_turn,0,1,51471,3208,39.9,
reduced,defect_4d,1,LOT_ID|TEMP_C|VDD|SPATIAL,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75; SPATIAL=edge,N,NW",interaction,inferred,1,4,0,1,,4,1,9,23,0,end_turn,0,1,69932,3732,48.4,
reduced,defect_4d,2,LOT_ID,"LOT_ID=L47,L48",single,measured,0,1,0,0,SPATIAL|TEMP_C|VDD,1,0,6,19,0,end_turn,0,1,39799,3662,47.5,
reduced,defect_4d,3,LOT_ID|TEMP_C|VDD|SPATIAL,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75; SPATIAL=edge,N,NW",independent,measured,0,4,0,1,,4,1,7,17,0,end_turn,0,1,44643,4099,51.5,
reduced,defect_4d,4,,,,,,,,,,,,,,,,,,,,3.8,"OverloadedError: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}, 'request_id': 'req_011CecDCs8jnfjpbTat4PyZP'}"
full,clean,0,LOT_ID|SITE_NUM|WAFER_ID,"LOT_ID=L45; SITE_NUM=3; WAFER_ID=W01,W02,W04",interaction,measured,0,0,3,0,,,,14,31,27,end_turn,1,1,138943,4774,66.7,
full,clean,1,LOT_ID|SITE_NUM|TEMP_C|VDD,LOT_ID=L45; SITE_NUM=3; TEMP_C=25; VDD=0.85,interaction,measured,0,0,4,0,,,,14,33,26,end_turn,1,1,134128,4911,60.1,
full,clean,2,LOT_ID|WAFER_ID|SITE_NUM,"LOT_ID=L45; WAFER_ID=W01; SITE_NUM=2,3",interaction,measured,0,0,3,0,,,,12,31,24,end_turn,0,1,97354,4266,50.6,
full,clean,3,LOT_ID|WAFER_ID|TEMP_C|SPATIAL,"LOT_ID=L45; WAFER_ID=W01; TEMP_C=25; SPATIAL=edge,S,SE",interaction,measured,0,0,4,0,,,,11,26,15,end_turn,0,1,90263,4642,59.9,
full,clean,4,SITE_NUM|TEMP_C,"SITE_NUM=7,3; TEMP_C=25",independent,measured,0,0,2,0,,,,14,29,18,end_turn,1,1,112677,3486,45.7,
full,defect_4d,0,LOT_ID|TEMP_C|VDD|SPATIAL,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75; SPATIAL=edge region,octants N and NW",interaction,measured,1,4,0,1,,4,1,11,20,12,end_turn,0,1,85304,3931,48.9,
full,defect_4d,1,LOT_ID|TEMP_C|VDD|SPATIAL,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75; SPATIAL=edge,outer,N,NW",interaction,measured,1,4,0,1,,4,1,9,33,28,end_turn,0,1,85814,4715,55.5,
full,defect_4d,2,LOT_ID|TEMP_C|VDD|SPATIAL,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75; SPATIAL=N,NW,edge",interaction,measured,1,4,0,1,,4,1,10,25,22,end_turn,0,1,82990,4857,56.6,
full,defect_4d,3,LOT_ID|TEMP_C|VDD|SPATIAL,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75; SPATIAL=N,NW,W octants and outer,edge radial bands",interaction,measured,1,4,0,1,,4,1,11,25,21,end_turn,0,1,105372,5428,66.8,
full,defect_4d,4,LOT_ID|TEMP_C|VDD,"LOT_ID=L47,L48; TEMP_C=85; VDD=0.75",interaction,measured,1,3,0,0,SPATIAL,3,0,10,27,24,end_turn,0,1,87780,4296,52.0,
